what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1296927119953
stopped,bundle,org.jboss.tools.cdi.ui,1.1.0.v20101206-2100-H28-Beta2,"org.jboss.tools.cdi.ui",1296927119953
stopped,bundle,org.jboss.tools.cdi.xml.ui,1.0.0.v20101206-2100-H28-Beta2,"org.jboss.tools.cdi.xml.ui",1296927119963
stopped,bundle,org.jboss.tools.cdi.text.ext,1.1.0.v20101206-2100-H28-Beta2,"org.jboss.tools.cdi.text.ext",1296927119971
stopped,bundle,org.jboss.tools.cdi.core,1.1.0.v20101206-2100-H28-Beta2,"org.jboss.tools.cdi.core",1296927119971
stopped,bundle,org.jboss.tools.esb.validator,1.3.0.v20101206-2100-H28-Beta2,"org.jboss.tools.esb.validator",1296927119971
stopped,bundle,org.jboss.tools.jsf.text.ext.richfaces,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jsf.text.ext.richfaces",1296927119978
stopped,bundle,org.jboss.tools.jsf.text.ext.facelets,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jsf.text.ext.facelets",1296927119994
stopped,bundle,org.jboss.tools.seam.text.ext,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.seam.text.ext",1296927120010
stopped,bundle,org.jboss.tools.jsf.text.ext,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jsf.text.ext",1296927120033
stopped,bundle,org.jboss.tools.jsf.ui,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jsf.ui",1296927120033
stopped,bundle,org.jboss.tools.jsf.verification,3.1.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jsf.verification",1296927120033
stopped,bundle,org.jboss.tools.jst.css,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jst.css",1296927120046
stopped,bundle,org.jboss.tools.esb.ui,1.3.0.v20101206-2100-H28-Beta2,"org.jboss.tools.esb.ui",1296927120046
stopped,bundle,org.jboss.tools.jst.web.tiles.ui,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jst.web.tiles.ui",1296927120084
stopped,bundle,org.jboss.tools.maven.seam,1.1.0.v20110121-1718-H21-CR1,"org.jboss.tools.maven.seam",1296927120084
stopped,bundle,org.jboss.tools.seam.ui,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.seam.ui",1296927120084
stopped,bundle,org.jboss.tools.seam.ui.pages,3.1.0.v20101206-2100-H28-Beta2,"org.jboss.tools.seam.ui.pages",1296927120107
stopped,bundle,org.jboss.tools.seam.xml.ui,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.seam.xml.ui",1296927120125
stopped,bundle,org.jboss.tools.jst.web.ui,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jst.web.ui",1296927120125
stopped,bundle,org.jboss.tools.project.examples.cheatsheet,1.1.0.v20101206-2100-H28-Beta2,"org.jboss.tools.project.examples.cheatsheet",1296927120137
stopped,bundle,org.jboss.tools.jst.jsp,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jst.jsp",1296927120137
stopped,bundle,org.jboss.tools.project.examples,1.1.0.v20101206-2100-H28-Beta2,"org.jboss.tools.project.examples",1296927120137
stopped,bundle,org.jboss.tools.runtime,1.1.0.v20101206-2100-H28-Beta2,"org.jboss.tools.runtime",1296927120137
stopped,bundle,org.jboss.tools.seam.core,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.seam.core",1296927120137
stopped,bundle,org.jboss.tools.jsf,3.2.0.v20101206-2100-H28-Beta2,"org.jboss.tools.jsf",1296927120137
